gene	p_snp_total	p_snp_synonymous	p_snp_missense	p_snp_lof	p_snp_cadd_l5	p_snp_cadd_g20	p_snp_cadd_g30
ABCA13	0.000183171129484968	5.0361810549061e-05	0.000124694144712982	6.61822088246631e-06	0.000157709987900478	9.22220701942614e-05	4.03147827007046e-05
ABCA2	0.000124763854180078	3.92797033902291e-05	8.14791893838064e-05	2.37394011704787e-06	0.000106315293691544	8.731807718313e-05	3.18552230056137e-05
ABCA3	9.53772674339977e-05	3.09122416907359e-05	6.12844050372629e-05	2.09221701968169e-06	7.96899460500826e-05	5.72618425838316e-05	2.61636503204217e-05
ABCA4	0.000104544967722705	2.98168022557538e-05	6.98401929514115e-05	3.41892662632027e-06	9.17245681443729e-05	6.74324775231188e-05	3.17707709796959e-05
ABCA5	5.42846719764268e-05	1.29718028895544e-05	3.77610525437949e-05	2.66091564385551e-06	4.80081388895729e-05	3.73684738839112e-05	1.39658805356341e-05
ABCA6	5.69381411449482e-05	1.51180130394558e-05	3.91366803721327e-05	2.03328332641113e-06	4.96442097584848e-05	2.99985946250786e-05	1.14024270336486e-05
ABCA7	0.000110543300152149	3.3582187226057e-05	7.2740378803775e-05	2.53252456183964e-06	9.50584651755447e-05	6.70261575745146e-05	2.68825656671607e-05
ABCA8	6.10246250213423e-05	1.71022258589899e-05	4.07976903702289e-05	2.27834179792781e-06	5.29957096403618e-05	3.56688465275683e-05	1.37925500665502e-05
ABCA9	6.01654528485526e-05	1.60770792087724e-05	4.03592995133929e-05	2.79991124925004e-06	5.18841470667536e-05	3.34637342527849e-05	1.36669055139916e-05
ABCB1	4.9614013051137e-05	1.21800985616124e-05	3.46833342135708e-05	2.10594913947484e-06	4.45034666546449e-05	3.4006328069709e-05	1.59547897069585e-05
ABCB10	2.54652834118891e-05	6.88125086607838e-06	1.75820797262978e-05	7.03235260329352e-07	2.28416933972744e-05	1.72862862718724e-05	8.17407983862872e-06
ABCB11	5.18493936693009e-05	1.3175661723306e-05	3.60000704027504e-05	2.04551840750358e-06	4.61736438215012e-05	3.6250709853594e-05	1.72439347633426e-05
ABCB4	5.36868294916243e-05	1.50567883987993e-05	3.57465176694112e-05	2.14304940361676e-06	4.77236639826862e-05	3.48581634621459e-05	1.60303849072977e-05
ABCB5	5.07560964246577e-05	1.32813442043989e-05	3.4152813223689e-05	2.63262363388325e-06	4.49183748221316e-05	3.28289260787503e-05	1.32737627041713e-05
ABCB6	4.27917076162186e-05	1.20576621677396e-05	2.85871716351321e-05	1.6382054165745e-06	3.83211508306255e-05	2.71904678525023e-05	1.3298561220579e-05
ABCB7	3.10845593961807e-05	8.4936065493885e-06	2.0940464470777e-05	1.34966863063747e-06	2.77134951701716e-05	2.12194416305641e-05	8.31267353994649e-06
ABCB8	4.23307441208734e-05	1.09400578274853e-05	2.96488869582094e-05	1.18752364669634e-06	3.81135149855953e-05	2.55690258540246e-05	1.16057127493598e-05
ABCB9	3.969807300392e-05	9.4045935587608e-06	2.85950919545713e-05	1.02626805287382e-06	3.51012212932745e-05	2.42741400447249e-05	1.10435641801967e-05
ABCC1	8.41090197204263e-05	2.59455264149267e-05	5.44888789292697e-05	2.37010348009687e-06	7.67060090256628e-05	5.27387716449217e-05	2.12562857511901e-05
ABCC10	7.45820478453481e-05	2.17585271472706e-05	4.9491661854849e-05	2.65954208828341e-06	6.75372071071651e-05	4.66137001617227e-05	2.09625034106671e-05
ABCC11	6.26957060815729e-05	1.78791491464622e-05	4.21051300995896e-05	1.80820961066559e-06	5.30609376609661e-05	3.53975153684485e-05	1.45493783505883e-05
ABCC12	6.18153803255333e-05	1.55124975162982e-05	4.29806113957587e-05	2.23872362503335e-06	5.15973191963174e-05	3.68146169486401e-05	1.54328928320918e-05
ABCC2	6.10227863786218e-05	1.66287073343854e-05	4.12702989739467e-05	2.41255818165679e-06	5.35961054792133e-05	3.76126103638595e-05	1.6953279254564e-05
ABCC3	7.60253419444242e-05	1.73973944359281e-05	5.48160974534081e-05	2.64800903006826e-06	6.74245483999686e-05	4.74130137387079e-05	2.10483439740377e-05
ABCC4	5.56001253286e-05	1.59129413497878e-05	3.71766149001399e-05	2.03965675769202e-06	4.89597233886152e-05	3.65295029785918e-05	1.59675021405973e-05
ABCC5	7.16517141716997e-05	2.02643755759135e-05	4.78715839482189e-05	2.90379637760722e-06	6.44923797582566e-05	4.55515172116049e-05	2.1936890193126e-05
ABCC6	6.92793200938605e-05	1.98814385972523e-05	4.64077517064177e-05	2.09733109377566e-06	5.91448328478788e-05	4.17821923278299e-05	1.89592078074158e-05
ABCC8	7.5968295235112e-05	2.07347209102264e-05	5.16797800669761e-05	2.43775516556062e-06	6.94341990251918e-05	4.95828238475767e-05	1.9187487278328e-05
ABCC9	6.27064926823124e-05	1.6182836259235e-05	4.33289955438124e-05	2.28919284334029e-06	5.55895707450498e-05	4.40707726397897e-05	1.70721604586498e-05
ABCD1	5.08001441430883e-05	1.57481087076182e-05	3.38103293967881e-05	9.55371862358222e-07	4.43654073807824e-05	3.17962086927101e-05	1.22943028476317e-05
ABCD2	2.75343271873509e-05	6.9061212017763e-06	1.94404582514162e-05	1.02999388659098e-06	2.47182501115425e-05	1.86932133276577e-05	7.76675439916569e-06
ABCD3	2.90210394399099e-05	6.68702635609448e-06	1.96379885412308e-05	1.94967209230466e-06	2.66933859857069e-05	2.03663648179726e-05	9.70389305478781e-06
ABCD4	3.13708579605924e-05	6.37805881751029e-06	2.27358826187346e-05	1.5241831340899e-06	2.85219603686489e-05	1.92443673216341e-05	9.15174291203581e-06
ABCE1	2.31379007909462e-05	5.4683222542021e-06	1.58687603975938e-05	1.45756970434139e-06	2.13651021670864e-05	1.72992354767312e-05	6.54303663398438e-06
ABCF1	3.69863022740205e-05	8.93788287352507e-06	2.52931413481502e-05	1.70562651010606e-06	3.45700131971761e-05	2.69953186255634e-05	1.20502311406868e-05
ABCF2	2.82974188232625e-05	7.19777791085337e-06	1.92132080085061e-05	1.28078265039658e-06	2.56919072644767e-05	2.08159002961245e-05	8.9345262965183e-06
ABCF3	3.98475504844935e-05	1.07307175760608e-05	2.70259969667332e-05	1.08261690031796e-06	3.67204252649042e-05	2.68439321310836e-05	1.03777938742044e-05
ABCG1	5.04194725534809e-05	1.60886755407986e-05	3.26487669612341e-05	1.04821016167466e-06	4.4609662326876e-05	2.85961183505227e-05	1.14979023727959e-05
ABCG2	2.63395020134255e-05	6.53793854151663e-06	1.82073642081121e-05	1.31559404382489e-06	2.28787332254982e-05	1.59312360802837e-05	7.59277101868575e-06
ABCG4	3.47522696237618e-05	1.03392340790406e-05	2.31323815259509e-05	7.00894471529229e-07	3.22208104069838e-05	2.18555520440131e-05	7.58876754902998e-06
ABCG5	2.69765193059664e-05	7.70728106654954e-06	1.80144363031638e-05	9.53152155856412e-07	2.28248660309031e-05	1.63942140455482e-05	8.11824855804016e-06
ABCG8	3.36491616024264e-05	1.05672561061438e-05	2.19238886538804e-05	9.61854852378791e-07	2.91710461214054e-05	2.08113619795186e-05	8.52797335200421e-06
ABHD1	1.87147806776543e-05	4.44618144067553e-06	1.31954800589949e-05	7.7808780303699e-07	1.56306893357765e-05	1.17106736930766e-05	4.53228476713815e-06
ABHD10	1.41755623056306e-05	3.54526144200862e-06	9.62590745613864e-06	8.37232142985128e-07	1.25338535765788e-05	8.84117838213313e-06	3.62755785502572e-06
ABHD11	1.67957868057033e-05	4.36709234073153e-06	1.13876692909394e-05	5.54496606552162e-07	1.42328967972938e-05	1.07342777550226e-05	4.56908377938804e-06
ABHD12	1.87843034856512e-05	5.17669718452735e-06	1.2177899614644e-05	8.51543968405295e-07	1.67296417952724e-05	1.29096429664458e-05	5.40245306028675e-06
ABHD12B	1.21634290803221e-05	2.93899542104258e-06	8.69796327259084e-06	3.2157374219249e-07	1.05952319151878e-05	7.55373506133543e-06	2.90075812826105e-06
ABHD13	1.2402775693483e-05	2.87889958928493e-06	8.88712670430932e-06	6.01199129053469e-07	1.13351338272621e-05	7.42052355258589e-06	2.09365427556574e-06
ABHD14A	1.59341825572031e-05	2.62382699407676e-06	1.21960586250995e-05	8.7330136865159e-07	1.35744224787272e-05	1.02083343868393e-05	4.79144424170538e-06
ABHD14A-ACY1	2.61598162192043e-05	5.04328239490454e-06	1.98270281286829e-05	7.97143019977723e-07	2.39207023939989e-05	1.81931966840318e-05	7.24478155664431e-06
ABHD14B	1.14712061958711e-05	2.80630175498975e-06	8.00542023718105e-06	4.01540014329989e-07	9.44259399350346e-06	7.05007523002783e-06	3.38313765060676e-06
ABHD15	3.70102139698761e-05	1.22657658419387e-05	2.35520320895488e-05	9.95873297609839e-07	3.28714935187693e-05	2.1957994041939e-05	9.10750590248824e-06
ABHD16A	3.30852454274856e-05	7.18182517440772e-06	2.3691603475507e-05	1.59878259594566e-06	2.89294752732998e-05	2.28245514454902e-05	1.04236387378478e-05
ABHD17A	2.86418746059107e-05	7.69772241413372e-06	2.00662884323972e-05	5.43700846753508e-07	2.51619065202125e-05	1.87801343967124e-05	8.02328791163412e-06
ABHD17B	1.19338014090382e-05	2.98032436827336e-06	8.20026586652192e-06	6.10305031636238e-07	1.09783027539197e-05	8.68601830054356e-06	2.32675423765951e-06
ABHD17C	1.88233178259137e-05	6.370969829082e-06	1.18170148407718e-05	4.08383944997322e-07	1.75444263423734e-05	1.23547627984536e-05	3.5854487589903e-06
ABHD2	2.18846991203641e-05	6.66110922544834e-06	1.44589411268296e-05	6.04291980350176e-07	2.06225977171539e-05	1.4044974023667e-05	5.75135078670351e-06
ABHD3	1.47717950481628e-05	2.71604661383052e-06	1.0872803567089e-05	9.21017385458791e-07	1.32136917681306e-05	1.01835595412421e-05	3.55894749443638e-06
ABHD4	1.75494260554362e-05	3.99337801623323e-06	1.2202462571726e-05	1.02334405408629e-06	1.63732285275244e-05	1.19019788914449e-05	4.51111947477458e-06
ABHD5	1.42712202914032e-05	3.08070806404661e-06	9.66516203519899e-06	1.27117173774821e-06	1.24888773976372e-05	9.51663017891708e-06	4.12876716016835e-06
ABHD6	1.49393248971071e-05	4.20401460439971e-06	1.01245717398508e-05	4.49615545236936e-07	1.39787862816505e-05	9.5405687386887e-06	4.06425623947402e-06
ABHD8	3.01007682359961e-05	1.03341007667267e-05	1.88148639700023e-05	7.32651102611942e-07	2.63868622537083e-05	1.93150651559515e-05	7.31064718416032e-06
ABI1	2.01138099690023e-05	5.14642630982643e-06	1.37962835120992e-05	9.39393700693903e-07	1.82376834354977e-05	1.4761918755697e-05	5.15742977437638e-06
ABI2	2.283857571444e-05	5.30894575295293e-06	1.59009489800274e-05	9.94924195855822e-07	2.13210286454491e-05	1.56523863763986e-05	5.70979853576028e-06
ABI3	1.1139161260565e-05	3.3353865003796e-06	7.18399304504195e-06	2.75550240933015e-07	9.81343277160872e-06	6.7551129049506e-06	2.63764309462874e-06
ABI3BP	6.86643531029348e-05	1.58107291923382e-05	4.82053060206012e-05	2.88391645506416e-06	6.01887852098335e-05	3.84172443648883e-05	1.49739423518587e-05
ABL1	6.3031374111851e-05	1.98715521815701e-05	4.0944787737519e-05	1.79133532802952e-06	5.68197814565299e-05	4.11273496101157e-05	2.01702195638211e-05
ABL2	4.69464107799559e-05	1.28319034351646e-05	3.12976766349124e-05	2.4138591601463e-06	4.1463048505873e-05	3.17534612608529e-05	1.38888075737911e-05
ABLIM1	4.17362234660269e-05	1.07798902954483e-05	2.87572625047423e-05	1.55092025386188e-06	3.70164889793107e-05	2.91206908587967e-05	1.34342952211573e-05
ABLIM2	3.6289272655607e-05	1.12835856440383e-05	2.28153865610455e-05	1.44534015687676e-06	3.28816606812762e-05	2.40558519372653e-05	1.11425937167124e-05
ABLIM3	3.46092581925082e-05	8.69658396019679e-06	2.38368734335577e-05	1.42664055914494e-06	3.29587900844281e-05	2.36867024528304e-05	1.08691648055293e-05
ABR	4.31322324709923e-05	1.34955385407527e-05	2.7395809199801e-05	1.06317172255325e-06	3.97606595112736e-05	2.7804374013919e-05	1.14602787486389e-05
ABRA	1.80529938112352e-05	4.87028221059777e-06	1.23174467843767e-05	8.0201565672581e-07	1.54377711693716e-05	1.18258548018038e-05	4.66850945004233e-06
ABRACL	4.84147333728139e-06	1.24215243192628e-06	3.29068605670233e-06	2.21608221831892e-07	3.98884454588815e-06	3.40877034351048e-06	1.95846879129397e-06
ABT1	1.92323137317169e-05	4.85371861375172e-06	1.40004364346943e-05	2.96755707273067e-07	1.77612128575107e-05	1.34372909066696e-05	5.98692450324968e-06
ABTB1	3.00274555678684e-05	8.41004842756065e-06	2.00034427437166e-05	1.23396251784722e-06	2.5495855009367e-05	1.94996810273771e-05	7.7020263954578e-06
ABTB2	3.8615349777132e-05	1.21161556888938e-05	2.50815896254768e-05	1.0666402101258e-06	3.41371984921712e-05	2.59752973460116e-05	1.08624281437857e-05
AC002310.13	6.14201298689908e-06	2.0731912317606e-06	3.84696316268013e-06	9.02293711782905e-08	5.46124712398064e-06	3.31205012078411e-06	1.93957110186295e-06
AC002398.9	2.17923476250182e-06	4.7449972110349e-07	1.3728914187035e-06	2.5834802909884e-07	2.0586063352328e-06	1.64621279280499e-06	8.43172471651679e-07
AC002472.13	1.05514301538872e-05	3.3002003859081e-06	6.84952484506064e-06	2.71439822844708e-07	9.091764171416e-06	6.28434768255878e-06	2.29956389148477e-06
AC002985.3	3.63764248347399e-06	1.09320652276636e-06	2.44487332869374e-06	8.07850759867627e-08	3.57120471392361e-06	2.41939405432932e-06	1.37687731482746e-06
AC003002.4	3.81458100918335e-06	1.04663853710485e-06	2.56491904837597e-06	1.34932498676444e-07	3.31980648461061e-06	1.87001834452037e-06	6.59152850899322e-07
AC003002.6	9.03756480386297e-06	2.35231539372486e-06	6.28908547411228e-06	2.71592785247927e-07	7.61616285315025e-06	4.26680064896444e-06	1.7747847262202e-06
AC003005.4	2.97026239308527e-06	9.33672734298768e-07	1.83749230478925e-06	7.12674475556962e-08	2.4420666696573e-06	1.75927364312728e-06	6.31757580929728e-07
AC003006.7	6.16780314956532e-06	1.99775980649906e-06	3.87205206930343e-06	2.2665350002213e-07	5.08688815864581e-06	3.07700719409354e-06	1.37015628392855e-06
AC003101.1	2.11075757856781e-06	7.07562837570286e-07	1.31253781232723e-06	8.40380996278642e-08	1.53945495959406e-06	9.10663882912388e-07	6.72980205780698e-07
AC004017.1	1.37805968008552e-06	4.43581414164442e-07	8.59960531261649e-07	3.8976781937914e-08	1.04660076719306e-06	4.08698099344985e-07	3.50279902352149e-07
AC004076.7	6.19877500148818e-07	1.38946624605699e-09	5.20559314499796e-07	2.57250174838227e-08	5.36117221133333e-07	2.37206849913478e-07	1.86226976021719e-07
AC004076.9	5.03196446563333e-06	1.19234541469966e-06	3.56483732832232e-06	1.6709939043523e-07	4.53218070708285e-06	2.73158516588276e-06	7.23453701240354e-07
AC004381.6	2.64107910284039e-05	7.06735097320391e-06	1.81657244951834e-05	8.07896635611964e-07	2.30780503930439e-05	1.53985197316382e-05	5.43030109880013e-06
AC004466.1	2.29162227144679e-06	2.57379501850676e-07	1.80368532984264e-06	1.1702625243876e-07	1.95820495368778e-06	1.50337373442754e-06	6.92467774418611e-07
AC005008.2	3.71295097667727e-06	9.82286677419674e-07	2.44485092923632e-06	2.08499204710297e-07	2.90355282990173e-06	1.41804271100242e-06	1.06753238150858e-06
AC005082.1	3.35573594574584e-07	1.30669659223679e-07	1.76276927900313e-07	8.57412521116949e-09	2.31304687199235e-07	1.37408616678006e-07	1.31874029734151e-07
AC005358.1	2.85625382663891e-05	8.98976556904172e-06	1.83050014187012e-05	1.06929658741842e-06	2.46403226799633e-05	1.83835007154953e-05	7.82919403703399e-06
AC005481.5	6.17322134391033e-06	2.04763435408223e-06	3.94520446895457e-06	1.30493528169024e-07	4.20090905420259e-06	2.43767571799062e-06	2.1163156952063e-06
AC005493.1	6.60632753944061e-07	1.1188138023243e-07	3.9191864765426e-07	1.06571608937333e-07	5.57385120957434e-07	1.5733913194631e-07	1.30484600625842e-07
AC005544.1	9.61249215431812e-06	3.02238169504331e-06	6.08987230742298e-06	3.74385333348839e-07	7.15193913629389e-06	3.72826845387415e-06	3.01310925859535e-06
AC005609.1	1.65273228257843e-05	5.94621417579899e-06	1.03409673272026e-05	1.96793324726089e-07	1.27971738461008e-05	7.26513087401462e-06	4.66079912570478e-06
AC005779.2	2.75172837019512e-06	9.0840772930708e-07	1.80080038840321e-06	1.01422455773054e-08	2.64757151193952e-06	1.86187036694537e-06	3.10174607280171e-07
AC005841.1	1.49772538297048e-05	4.55037908044213e-06	1.00165677057712e-05	3.74916777942763e-07	1.28109778183414e-05	8.20506856491651e-06	2.78338401711074e-06
AC006156.1	4.23190601351637e-06	1.57153624492643e-06	2.53917393007911e-06	7.04373448754209e-08	3.01478474331054e-06	2.16635157463533e-06	1.2991420194971e-06
AC006435.1	7.81795074321461e-06	2.02864540253972e-06	5.42059407531452e-06	2.69695297579857e-07	5.65132551627331e-06	3.48964120588295e-06	2.75969107259755e-06
AC006486.1	1.04043430149652e-05	3.08915462554234e-06	6.98090089068356e-06	2.97676243501907e-07	9.00218482020146e-06	5.13544979552781e-06	1.64310696069382e-06
AC006486.9	9.0393539513169e-06	2.58364946693993e-06	6.09098978068756e-06	2.52469288724042e-07	8.55308873653173e-06	6.46005735099149e-06	3.15209786858987e-06
AC006538.4	5.04923036800184e-06	1.77130618553349e-06	3.14153191643205e-06	5.03093841661253e-08	4.46007381771869e-06	3.62116699015437e-06	1.02148238504099e-06
AC006946.15	4.53908621245128e-06	1.1250696467066e-06	2.92300293425019e-06	4.1921145043098e-07	3.91880783858477e-06	1.57633328881491e-06	1.0539815743794e-06
AC007040.11	6.56078999946425e-06	2.16652661733307e-06	4.07279442585697e-06	1.53134539461555e-07	5.89668683043398e-06	4.51260365375033e-06	1.46670242411228e-06
AC007390.5	2.9116870490839e-06	7.2821057315957e-07	2.03860656715982e-06	8.7846262151668e-08	2.66713129311018e-06	1.65657317736826e-06	4.13037404953971e-07
AC007401.2	2.88730932918716e-06	8.27457814506724e-07	1.80247855611907e-06	2.16566066817169e-07	2.30873861100842e-06	9.44676137850735e-07	7.09834588729163e-07
AC007405.2	2.18224107875242e-05	7.28423350092718e-06	1.38925540682474e-05	6.02275220293062e-07	1.6771026178558e-05	6.74404569483045e-06	5.87638416857397e-06
AC007431.1	8.86070077538696e-06	2.48500453084692e-06	6.1434568111244e-06	1.96698480694132e-07	7.93241473736274e-06	5.71683517749407e-06	2.15345092635698e-06
AC007557.1	3.17195720321273e-06	7.05237473309718e-07	2.2431440538364e-06	1.28941698970949e-07	2.28729045102724e-06	1.60486480847886e-06	1.15588152801771e-06
AC007952.1	6.30025602610881e-07	1.02314796122604e-07	4.65918599636033e-07	1.2077690825495e-08	5.53195023745106e-07	5.0703393086692e-07	1.0083070774218e-07
AC007952.5	8.15680418782921e-06	2.43393657983161e-06	5.15794517105854e-06	3.45069964409072e-07	5.4576148356143e-06	3.82108556743237e-06	3.23696837735248e-06
AC007952.6	8.34454829709758e-06	2.41181128494881e-06	5.33673200914011e-06	3.32920004157759e-07	5.95269209701389e-06	3.21913135765691e-06	2.74352428071907e-06
AC007956.1	5.68443743005551e-06	1.6947000420741e-06	3.67879454473458e-06	2.68144674992914e-07	5.17849497392435e-06	2.87563581586556e-06	7.61815675910555e-07
AC008132.1	4.87957880718321e-06	1.15928601857454e-06	3.46363154214513e-06	1.04281920676662e-07	4.23808266742644e-06	1.61391884632268e-06	8.24285198253674e-07
AC008132.13	2.16254412453057e-05	6.45513405544004e-06	1.41876652365068e-05	9.40976198702449e-07	1.76331875586153e-05	9.10225581821701e-06	5.22291323455006e-06
AC008271.1	2.59928322324222e-06	6.63385107786559e-07	1.72667740388445e-06	6.57929330963568e-08	2.32561966726496e-06	5.60256250686413e-07	4.03797718560793e-07
AC009065.1	1.04964226776882e-05	1.87214184125005e-06	7.93321199315581e-06	5.85831293769157e-07	9.18796599150355e-06	6.70729280365147e-06	2.12866176569796e-06
AC009365.3	6.3849754861955e-06	1.83117060257521e-06	4.33018567295228e-06	1.84433356853963e-07	5.64531937290224e-06	1.89503683127326e-06	9.91196880052171e-07
AC009403.2	3.49182902893991e-06	9.20443919080839e-07	2.38665193551131e-06	1.14611612103557e-07	3.00725084061461e-06	9.34499553872814e-07	6.72478323736486e-07
AC009802.1	5.49923732689947e-07	3.7210840480247e-08	4.24122518355528e-07	4.00241422145623e-08	4.84532261896798e-07	2.47629695192668e-07	1.26824132175261e-07
AC009892.10	8.54930564743485e-07	2.18027222745896e-07	4.91461475689286e-07	9.21201208534928e-08	7.62679662084845e-07	1.92299478319955e-07	9.98477658408338e-08
AC010336.1	1.57987806567637e-05	4.42678705818638e-06	1.06718970780348e-05	6.65003825029896e-07	1.39100672738724e-05	1.0608839258737e-05	2.79585641845803e-06
AC010441.1	1.92254633494667e-08	0	1.04653065544581e-08	0	1.92254633494667e-08	9.28599599503111e-09	0
AC010547.9	3.24458341753748e-06	8.98126161882204e-07	2.03254212802199e-06	1.26323317486929e-07	2.79407071741737e-06	1.723490691605e-06	6.37927036688066e-07
AC010646.3	1.36745727612821e-07	1.65427848599506e-08	6.82000302301603e-08	2.89502122692638e-09	1.35629663737996e-07	1.13676818326715e-07	1.34831034323178e-08
AC011239.1	5.4500132306664e-06	1.78959547804723e-06	3.5060578111847e-06	1.33076236259409e-07	4.38338300990401e-06	1.86518325412488e-06	1.24196827549653e-06
AC011294.3	3.56123797430336e-06	8.88494840514629e-07	2.46034776347186e-06	1.54461410497441e-07	2.97863909002002e-06	1.05224926911226e-06	7.79188234174056e-07
AC011298.1	3.75101807106448e-06	1.05110413980491e-06	2.47235617088294e-06	1.12775838697282e-07	2.77348587403264e-06	1.36077732729026e-06	1.17310103583826e-06
AC011308.1	4.26950244696545e-07	4.45145450266311e-08	3.15632549847692e-07	2.05470148943786e-08	3.65747328558429e-07	2.07480863314325e-07	8.17499310324951e-08
AC011484.1	1.48505104964823e-05	4.79090001027268e-06	9.35224243210603e-06	6.30344289259576e-07	1.24339340780306e-05	9.86092864771895e-06	3.15900648546746e-06
